Date,Open,High,Low,Close
12/08/2025,"6,875.20","6,878.27","6,827.19","6,846.51"
12/05/2025,"6,812.30","6,895.78","6,799.94","6,870.40"
11/28/2025,"6,636.54","6,850.86","6,630.70","6,849.09"
11/21/2025,"6,713.61","6,770.35","6,521.92","6,602.99"
11/14/2025,"6,785.36","6,869.91","6,646.87","6,734.11"
11/07/2025,"6,882.32","6,882.32","6,631.44","6,728.80"
10/31/2025,"6,845.46","6,920.34","6,814.26","6,840.20"
10/24/2025,"6,690.05","6,807.11","6,655.69","6,791.69"
10/17/2025,"6,622.53","6,724.12","6,555.07","6,664.01"
10/10/2025,"6,733.86","6,764.58","6,550.78","6,552.51"
10/03/2025,"6,661.58","6,750.87","6,641.00","6,715.79"
09/26/2025,"6,654.28","6,699.52","6,569.22","6,643.70"
09/19/2025,"6,603.49","6,671.82","6,551.15","6,664.36"
09/12/2025,"6,498.09","6,600.21","6,483.08","6,584.29"
09/05/2025,"6,401.51","6,532.65","6,360.58","6,481.50"
08/29/2025,"6,457.67","6,508.23","6,429.21","6,460.26"
08/22/2025,"6,445.02","6,478.89","6,343.86","6,466.91"
08/15/2025,"6,389.67","6,481.34","6,364.06","6,449.80"
08/08/2025,"6,271.71","6,395.16","6,271.71","6,389.45"
08/01/2025,"6,397.69","6,427.02","6,212.69","6,238.01"
07/25/2025,"6,304.74","6,395.82","6,281.71","6,388.64"
07/18/2025,"6,255.15","6,315.61","6,201.59","6,296.79"
07/11/2025,"6,259.04","6,290.22","6,201.00","6,259.75"
07/03/2025,"6,193.36","6,284.65","6,174.97","6,279.35"
06/27/2025,"5,969.67","6,187.68","5,943.23","6,173.07"
06/20/2025,"6,004.00","6,050.83","5,952.56","5,967.84"
06/13/2025,"6,004.63","6,059.40","5,963.21","5,976.97"
06/06/2025,"5,896.68","6,016.87","5,861.43","6,000.36"
05/30/2025,"5,854.07","5,943.13","5,843.66","5,911.69"
05/23/2025,"5,902.88","5,968.61","5,767.41","5,802.82"
05/16/2025,"5,807.20","5,958.62","5,786.08","5,958.38"
05/09/2025,"5,655.32","5,720.10","5,578.64","5,659.91"
05/02/2025,"5,529.22","5,700.70","5,433.24","5,686.67"
04/25/2025,"5,232.94","5,528.11","5,101.63","5,525.21"
04/17/2025,"5,441.96","5,459.46","5,220.79","5,282.70"
04/11/2025,"4,953.79","5,481.34","4,835.04","5,363.36"
04/04/2025,"5,527.91","5,695.31","5,069.90","5,074.08"
03/28/2025,"5,718.08","5,786.95","5,572.42","5,580.94"
03/21/2025,"5,635.60","5,715.33","5,597.76","5,667.56"
03/14/2025,"5,705.37","5,705.37","5,504.65","5,638.94"
03/07/2025,"5,968.33","5,986.09","5,666.29","5,770.20"
02/28/2025,"6,026.69","6,043.65","5,837.66","5,954.50"
02/21/2025,"6,121.60","6,147.43","6,008.56","6,013.13"
02/14/2025,"6,046.40","6,127.47","6,003.00","6,114.63"
02/07/2025,"5,969.65","6,101.28","5,923.93","6,025.99"
01/31/2025,"5,969.04","6,120.91","5,962.92","6,040.53"
01/24/2025,"6,014.12","6,128.18","6,006.88","6,101.24"
01/17/2025,"5,782.02","6,014.96","5,773.31","5,996.66"
01/10/2025,"5,982.81","6,021.04","5,807.78","5,827.04"
01/03/2025,"5,920.67","5,949.34","5,829.53","5,942.47"
12/27/2024,"5,940.25","6,049.75","5,902.57","5,970.84"
12/20/2024,"6,063.79","6,085.19","5,832.30","5,930.85"
12/13/2024,"6,083.01","6,092.59","6,029.89","6,051.09"
